Altium Designer Pick and Place Locations
C:\Users\delta\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       15/12/25
Time:       10:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C18","1 uf","BottomLayer","CAPC1608X90X35LL15T15","464.188","1986.599","135","CL10 Series 1 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"
"C17","10 nf","BottomLayer","CAPC1608X90X35LL15T15","424.818","1947.229","135","CAP, 0.01UF, 50V, MLCC, 0603; Pojemnosc: 0.01µF; Substancje SVHC: No SVHC (15-Jan-2019)"
"C16","100 nf","BottomLayer","CAPC1608X87X35LL15T15","669.291","1919.291","225","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C14","100 nf","BottomLayer","CAPC1608X87X35LL15T15","464.884","1798.895","135","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C13","100 nf","BottomLayer","CAPC1608X87X35LL15T15","324.803","1919.291","45","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C12","4.7 uf","BottomLayer","PCB-0wz5cygkzjk26dn1bz6x-1","531.496","1860.236","45","CAP, 4.7UF, 16V, MLCC, 0603; SVHC: No SVHC (15-Jan-2019) RoHS Compliant: Yes"
"U3","LP2985-33DBVR","TopLayer","PCB-9w08p7pn23yr1dz22wph-1","1456.693","2017.716","0","Ldo Voltage Regulator, 3.3V, 150MA, 5-SOT-23, Full Reel"
"U2","DFRobot DFR0847","TopLayer","DFRobot_DFR0847-Footprint-1","2141.339","1732.284","0","0.96 160x80 Color SPI TFT Display Development Board"
"U1","STM32F072C8T6TR","TopLayer","STM-LQFP48_M","452.756","1929.134","225","STM32F072C8T6TR 48 pin  LQFP48 7x7 mm  ARM MCU, STM32 Family STM32F0 Series Microcontrollers, ARM Cortex-M0, 32bit, 48 MHz, 128 KB, external XTAL must be used for usb"
"SW1","Yuandi TS-1092S-B3D2-G","BottomLayer","XKB_Connectivity_TS-1101-C-W-Footprint-2","807.087","1072.835","270",""
"S9","SSSS810701","BottomLayer","SSSS810701","3051.181","826.772","270","Switch Slide SP Side Slide 0.3A 5VDC 10000Cycles Gull Wing SMD T/R"
"S8","MX1A-G1NA","TopLayer","Cherry_MX1A-G1NA","2696.850","552.756","0","Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"
"S7","MX1A-G1NA","TopLayer","Cherry_MX1A-G1NA","1948.819","552.756","0","Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"
"S6","MX1A-G1NA","TopLayer","Cherry_MX1A-G1NA","1200.787","552.756","0","Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"
"S5","MX1A-G1NA","TopLayer","Cherry_MX1A-G1NA","452.756","552.756","0","Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"
"S4","MX1A-G1NA","TopLayer","Cherry_MX1A-G1NA","2696.850","1300.787","0","Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"
"S3","MX1A-G1NA","TopLayer","Cherry_MX1A-G1NA","1948.819","1300.787","0","Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"
"S2","MX1A-G1NA","TopLayer","Cherry_MX1A-G1NA","1200.787","1300.787","0","Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"
"S1","MX1A-G1NA","TopLayer","Cherry_MX1A-G1NA","452.756","1300.787","0","Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"
"R4","RC2512JK-0710KL","TopLayer","PCB-rwc9zyhheq7m56byksuk-1","1456.693","1673.228","0","Surface Mount Chip Resistor, Thick Film, Rc Series, 10 Kohm, 1 W, 5%, 200 V, 2512 [6432 Metric]"
"R3","RC2512JK-0710KL","BottomLayer","PCB-rwc9zyhheq7m56byksuk-1","807.087","1328.740","0","Surface Mount Chip Resistor, Thick Film, Rc Series, 10 Kohm, 1 W, 5%, 200 V, 2512 [6432 Metric]"
"R2","RC0805JR-075K1L","TopLayer","RESC2013X60X35NL10T20","1240.158","1998.031","90","RES SMD 5.1K OHM 5% 1/8W 0805"
"R1","RC0805JR-075K1L","TopLayer","RESC2013X60X35NL10T20","1062.992","1998.031","90","RES SMD 5.1K OHM 5% 1/8W 0805"
"Q2","ASFL1-12.000MHZ-EK-T","TopLayer","PCB-kqxdmwb8ser6p31oe6p9-1","764.797","2121.252","135","Oscillator XO 12MHz 30ppm 15pF (Stability) HCMOS/TTL 60% 3.3V 4-Pin SMD T/R"
"Q1","ASEK-32.768KHZ-LRT","TopLayer","PCB-c01gkmt8w854hec4nwcb-1","856.299","1860.236","135","ASEK Series 32.768 kHz 3.2 x 2.5 mm 3.3 V ±25 ppm SMT Crystal Clock Oscillator"
"LED8","SK6805-EC14","TopLayer","New_footprint_1","2696.850","246.063","90","1.4mm x 1.4mm RGB LED"
"LED7","SK6805-EC14","TopLayer","New_footprint_1","1948.819","246.063","90","1.4mm x 1.4mm RGB LED"
"LED6","SK6805-EC14","TopLayer","New_footprint_1","1200.787","246.063","90","1.4mm x 1.4mm RGB LED"
"LED5","SK6805-EC14","TopLayer","New_footprint_1","452.756","246.063","90","1.4mm x 1.4mm RGB LED"
"LED4","SK6805-EC14","TopLayer","New_footprint_1","2696.850","994.095","90","1.4mm x 1.4mm RGB LED"
"LED3","SK6805-EC14","TopLayer","New_footprint_1","1948.819","994.095","90","1.4mm x 1.4mm RGB LED"
"LED2","SK6805-EC14","TopLayer","New_footprint_1","1200.787","994.095","90","1.4mm x 1.4mm RGB LED"
"LED1","SK6805-EC14","TopLayer","New_footprint_1","452.756","994.095","90","1.4mm x 1.4mm RGB LED"
"J2","BG306-06-A-1-0400-L-B","BottomLayer","PCB-e99a0jcwo2y0r8vt74ra-1","964.567","1604.331","270","BG306 Series 6 Position Single Row 2.54 mm Pitch SMT Top Entry Vertical Socket"
"J1","Molex 105450-0101","BottomLayer","PCB-zuuv2u5tezfwori2z0s2-1","1151.575","2066.338","0","Conn USB 3.1 Type C RCP 24 POS 0.5mm Solder RA SMD 24 Terminal 1 Port T/R"
"F1","T0603FF1000TM","TopLayer","CAPC1608X90X35NL15T15","1240.158","2145.669","270","FastBlow 13A SMD Fuse 1A 0.042 69m´Î 0603 Fuses ROHS"
"D8","1N4448WS-7-F","BottomLayer","1N4448WS-7F","2696.850","757.874","180","1N4448WS Series 4 A 75 V 200 mW Surface Mount Fast Switching Diode - SOD-323"
"D7","1N4448WS-7-F","BottomLayer","1N4448WS-7F","1948.819","757.874","180","1N4448WS Series 4 A 75 V 200 mW Surface Mount Fast Switching Diode - SOD-323"
"D6","1N4448WS-7-F","BottomLayer","1N4448WS-7F","1200.787","757.874","180","1N4448WS Series 4 A 75 V 200 mW Surface Mount Fast Switching Diode - SOD-323"
"D5","1N4448WS-7-F","BottomLayer","1N4448WS-7F","452.756","757.874","0","1N4448WS Series 4 A 75 V 200 mW Surface Mount Fast Switching Diode - SOD-323"
"D4","1N4448WS-7-F","BottomLayer","1N4448WS-7F","2696.850","895.669","0","1N4448WS Series 4 A 75 V 200 mW Surface Mount Fast Switching Diode - SOD-323"
"D3","1N4448WS-7-F","BottomLayer","1N4448WS-7F","1948.819","895.669","0","1N4448WS Series 4 A 75 V 200 mW Surface Mount Fast Switching Diode - SOD-323"
"D2","1N4448WS-7-F","BottomLayer","1N4448WS-7F","1200.787","895.669","0","1N4448WS Series 4 A 75 V 200 mW Surface Mount Fast Switching Diode - SOD-323"
"D1","1N4448WS-7-F","BottomLayer","1N4448WS-7F","452.756","895.669","180","1N4448WS Series 4 A 75 V 200 mW Surface Mount Fast Switching Diode - SOD-323"
"C26","100 nf","BottomLayer","CAPC1608X87X35LL15T15","551.181","246.063","90","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
"C25","100 nf","BottomLayer","CAPC1608X87X35LL15T15","2795.276","994.095","90","Ceramic capacitor SMD-0603 100nF /50V X7R# K +-10%, Samsung, RoHS"
